# of failing_tc,# of passing_tc,# of total_tc,# of lines executed by failing TC,# of lines executed by passing tc,total # of lines executed,total # of lines, total coverage
35,92,127,1614,4800,5542,6648,0.8336341756919374
1,126,127,959,5984,6099,6675,0.9137078651685393
1,126,127,845,6011,6121,6674,0.9171411447407851
11,116,127,1472,5752,6122,6675,0.9171535580524345
5,122,127,1192,5971,6097,6675,0.9134082397003745
1,126,127,862,6014,6122,6673,0.9174284429791698
3,124,127,897,6016,6092,6675,0.9126591760299625
8,119,127,1491,5824,6119,6675,0.9167041198501873
1,126,127,929,6036,6094,6675,0.9129588014981274
27,100,127,1965,5353,6068,6675,0.909063670411985
1,126,127,846,6014,6124,6675,0.9174531835205992
9,118,127,1575,5744,6107,6675,0.9149063670411985
6,121,127,1239,5865,6062,6675,0.9081647940074906
6,121,127,958,5865,6054,6675,0.9069662921348315
2,125,127,779,5396,5589,6675,0.8373033707865168
2,125,127,1169,6013,6115,6675,0.9161048689138577
15,112,127,883,5540,5774,6675,0.8650187265917603
1,126,127,582,6018,6108,6675,0.9150561797752809
1,126,127,584,6018,6108,6675,0.9150561797752809
2,125,127,923,5396,5691,6675,0.8525842696629213
1,126,127,467,6041,6099,6675,0.9137078651685393
1,126,127,467,6041,6099,6675,0.9137078651685393
1,126,127,618,6002,6109,6675,0.9152059925093633
8,119,127,692,5938,6109,6675,0.9152059925093633
3,124,127,620,5990,6109,6675,0.9152059925093633
1,126,127,515,6053,6109,6675,0.9152059925093633
1,126,127,913,6036,6096,6675,0.9132584269662921
2,125,127,664,5976,6100,6666,0.9150915091509151
1,126,127,554,6047,6108,6675,0.9150561797752809
2,125,127,673,5976,6109,6675,0.9152059925093633
2,125,127,613,5996,6109,6675,0.9152059925093633
2,125,127,615,5996,6109,6675,0.9152059925093633
9,118,127,771,5862,6109,6675,0.9152059925093633
35,92,127,2822,4876,6114,6675,0.9159550561797752
4,123,127,1053,5895,6132,6675,0.9186516853932585
2,125,127,829,6031,6132,6675,0.9186516853932585
72,55,127,2778,3437,4766,6672,0.7143285371702638
