bug_version,# of failing TCs,# of passing TCs,# of CCTCs,total # of TCs,# of lines executed by failing TCs,# of lines executed by passing TCs,total # of lines executed,total # of lines,total coverage
bug115,2,120,5,122,650,5139,5301,6675,79.42
bug116,3,121,3,124,848,5208,5402,6675,80.93
bug117,3,120,4,123,822,5139,5370,6675,80.45
bug118,3,124,0,127,848,5906,6099,6675,91.37
bug119,4,120,3,124,1457,5139,5908,6675,88.51
bug120,1,126,0,127,693,5975,6125,6675,91.76
bug121,1,126,0,127,644,6026,6124,6675,91.75
bug122,4,123,0,127,605,5993,6115,6675,91.61
bug123,1,126,0,127,527,6032,6108,6675,91.51
bug124,11,104,12,115,1942,5172,5672,6675,84.97
bug125,12,115,0,127,1967,5454,6115,6675,91.61
bug126,2,125,0,127,1189,5961,6122,6675,91.72
bug127,17,107,3,124,2095,5238,5914,6675,88.60
bug128,1,126,0,127,548,6038,6122,6675,91.72
bug129,1,126,0,127,716,6038,6122,6675,91.72
bug130,2,125,0,127,1010,5884,6122,6675,91.72
bug131,62,65,0,127,1840,3754,4748,6675,71.13
bug132,49,78,0,127,1301,4235,4853,6675,72.70
bug133,18,108,1,126,1554,5501,5985,6675,89.66
bug134,1,126,0,127,769,5999,6122,6675,91.72
bug135,1,126,0,127,769,5999,6122,6675,91.72
bug136,1,126,0,127,769,5999,6122,6675,91.72
bug137,1,126,0,127,562,5999,6085,6675,91.16
bug138,1,126,0,127,769,5999,6122,6675,91.72
bug139,1,125,1,126,589,5984,6072,6676,90.95
bug140,3,123,1,126,971,5913,6113,6675,91.58
bug141,1,126,0,127,830,6015,6123,6675,91.73
bug142,3,124,0,127,1095,5999,6126,6675,91.78
bug143,3,123,1,126,952,5462,5606,6675,83.99
bug144,5,121,1,126,959,5826,6116,6675,91.63
bug145,1,124,2,125,1258,5364,6000,6675,89.89
bug146,1,124,2,125,1258,5364,6000,6675,89.89
bug147,7,120,0,127,1724,5139,6128,6669,91.89
bug148,2,125,0,127,1374,5396,6134,6675,91.90
bug149,4,119,4,123,653,5090,5275,6675,79.03
bug150,3,117,7,120,906,5649,5851,6675,87.66
bug151,2,74,51,76,863,4062,4431,6675,66.38
bug152,1,126,0,127,940,5905,6084,6675,91.15
bug153,1,126,0,127,975,5905,6122,6675,91.72
bug154,1,126,0,127,974,5905,6122,6675,91.72
bug155,1,126,0,127,1020,5905,6122,6675,91.72
bug156,1,125,1,126,1246,5396,6006,6675,89.98
average,5.64,115.18,6.18,120.82,1011.46,5506.21,5788.03,6674.41
